,index,Event,Recruit,Walk On,Tryout,College,Team,Recruit numeric,Walk On numeric,Tryout numeric
2403,0,5K XC,20:32,21:49,23:05,Stevens Institute of Technology,womens,1232.0,1309.0,1385.0
2404,1,3200m,11:57,12:28,12:48,Stevens Institute of Technology,womens,717.0,748.0,768.0
2405,2,1600m,5:37,5:47,5:53,Stevens Institute of Technology,womens,337.0,347.0,353.0
2406,3,800m,2:24,2:31,2:38,Stevens Institute of Technology,womens,144.0,151.0,158.0
2407,4,400m,1:01,1:04,1:07,Stevens Institute of Technology,womens,61.0,64.0,67.0
2408,5,300m H,47.48,48.94,49.88,Stevens Institute of Technology,womens,47.48,48.94,49.88
2409,6,200m,26.20,27.08,27.60,Stevens Institute of Technology,womens,26.2,27.08,27.6
2410,7,100m,12.67,12.96,13.16,Stevens Institute of Technology,womens,12.67,12.96,13.16
2411,8,100m H,16.44,17.03,17.81,Stevens Institute of Technology,womens,16.44,17.03,17.81
2412,9,High Jump,5' 2,5' 1,5' 0,Stevens Institute of Technology,womens,62.0,61.0,60.0
2413,10,Javelin,113' 3,107' 5,102' 11,Stevens Institute of Technology,womens,1359.0,1289.0,1235.0
2414,11,Long Jump,15' 11,14' 5,12' 6,Stevens Institute of Technology,womens,191.0,173.0,150.0
2415,12,Pole Vault,10' 6,9' 7,9' 0,Stevens Institute of Technology,womens,126.0,115.0,108.0
2416,13,Shot Put,35' 10,33' 11,30' 6,Stevens Institute of Technology,womens,430.0,407.0,366.0
2417,0,5K XC,15:43,16:16,16:53,Stony Brook University,mens,943.0,976.0,1013.0
2418,1,3200m,9:27,9:34,9:39,Stony Brook University,mens,567.0,574.0,579.0
2419,2,1600m,4:19,4:23,4:27,Stony Brook University,mens,259.0,263.0,267.0
2420,3,800m,1:57,2:00,2:03,Stony Brook University,mens,117.0,120.0,123.0
2421,4,400m,48.80,49.90,51.01,Stony Brook University,mens,48.8,49.9,51.01
2422,5,300m H,38.45,39.40,39.74,Stony Brook University,mens,38.45,39.4,39.74
2423,6,200m,22.56,23.34,24.71,Stony Brook University,mens,22.56,23.34,24.71
2424,7,110m H,14.50,14.57,14.65,Stony Brook University,mens,14.5,14.57,14.65
2425,8,100m,11.14,11.65,12.34,Stony Brook University,mens,11.14,11.65,12.34
2426,9,Long Jump,22' 4,21' 6,20' 3,Stony Brook University,mens,268.0,258.0,243.0
2427,0,5K XC,18:32,19:29,20:54,Stony Brook University,womens,1112.0,1169.0,1254.0
2428,1,3200m,11:15,11:37,11:51,Stony Brook University,womens,675.0,697.0,711.0
2429,2,1600m,5:12,5:18,5:28,Stony Brook University,womens,312.0,318.0,328.0
2430,3,800m,2:18,2:23,2:26,Stony Brook University,womens,138.0,143.0,146.0
2431,4,400m,57.32,57.96,58.41,Stony Brook University,womens,57.32,57.96,58.41
2432,5,300m H,44.51,45.87,47.10,Stony Brook University,womens,44.51,45.87,47.1
2433,6,200m,25.09,25.33,25.56,Stony Brook University,womens,25.09,25.33,25.56
2434,7,100m,12.30,12.69,13.11,Stony Brook University,womens,12.3,12.69,13.11
2435,8,100m H,15.63,15.76,15.90,Stony Brook University,womens,15.63,15.76,15.9
2436,9,Long Jump,18' 0,17' 3,16' 8,Stony Brook University,womens,216.0,207.0,200.0
2437,0,5K XC,16:16,16:51,17:52,SUNY at Albany,mens,976.0,1011.0,1072.0
2438,1,3200m,9:41,9:48,9:53,SUNY at Albany,mens,581.0,588.0,593.0
2439,2,1600m,4:24,4:28,4:34,SUNY at Albany,mens,264.0,268.0,274.0
2440,3,800m,1:56,2:02,2:07,SUNY at Albany,mens,116.0,122.0,127.0
2441,4,400m,50.32,51.91,56.01,SUNY at Albany,mens,50.32,51.91,56.01
2442,5,300m H,39.29,41.43,42.72,SUNY at Albany,mens,39.29,41.43,42.72
2443,6,200m,22.28,23.01,23.82,SUNY at Albany,mens,22.28,23.01,23.82
2444,7,110m H,14.46,14.65,14.78,SUNY at Albany,mens,14.46,14.65,14.78
2445,8,100m,10.82,11.28,12.06,SUNY at Albany,mens,10.82,11.28,12.06
2446,9,High Jump,6' 5,6' 3,6' 0,SUNY at Albany,mens,77.0,75.0,72.0
2447,10,Long Jump,22' 5,21' 6,19' 8,SUNY at Albany,mens,269.0,258.0,236.0
2448,11,Triple Jump,48' 0,44' 10,42' 2,SUNY at Albany,mens,576.0,538.0,506.0
2449,0,5K XC,18:47,20:48,21:44,SUNY at Albany,womens,1127.0,1248.0,1304.0
2450,1,1600m,5:10,5:21,5:41,SUNY at Albany,womens,310.0,321.0,341.0
2451,2,800m,2:15,2:24,2:37,SUNY at Albany,womens,135.0,144.0,157.0
2452,3,400m,58.85,1:03,1:07,SUNY at Albany,womens,58.85,63.0,67.0
2453,4,300m H,44.20,45.90,47.77,SUNY at Albany,womens,44.2,45.9,47.77
2454,5,200m,25.44,27.15,28.74,SUNY at Albany,womens,25.44,27.15,28.74
2455,6,100m,11.81,12.14,12.49,SUNY at Albany,womens,11.81,12.14,12.49
2456,7,100m H,14.72,15.00,15.22,SUNY at Albany,womens,14.72,15.0,15.22
2457,8,Discus,115' 8,111' 6,109' 0,SUNY at Albany,womens,1388.0,1338.0,1308.0
2458,9,High Jump,5' 5,5' 2,5' 0,SUNY at Albany,womens,65.0,62.0,60.0
2459,10,Long Jump,18' 0,17' 2,16' 5,SUNY at Albany,womens,216.0,206.0,197.0
2460,11,Shot Put,43' 2,41' 0,39' 1,SUNY at Albany,womens,518.0,492.0,469.0
2461,12,Triple Jump,37' 8,36' 10,35' 0,SUNY at Albany,womens,452.0,442.0,420.0
2462,0,5K XC,16:48,17:54,19:31,Swarthmore College,mens,1008.0,1074.0,1171.0
2463,1,3200m,9:54,10:07,10:18,Swarthmore College,mens,594.0,607.0,618.0
2464,2,1600m,4:30,4:40,4:55,Swarthmore College,mens,270.0,280.0,295.0
2465,3,800m,2:03,2:09,2:15,Swarthmore College,mens,123.0,129.0,135.0
2466,4,400m,51.96,53.56,54.45,Swarthmore College,mens,51.96,53.56,54.45
2467,5,300m H,42.71,43.89,44.54,Swarthmore College,mens,42.71,43.89,44.54
2468,6,200m,24.21,24.75,25.19,Swarthmore College,mens,24.21,24.75,25.19
2469,7,110m H,16.75,17.39,17.57,Swarthmore College,mens,16.75,17.39,17.57
2470,8,100m,11.52,12.02,12.58,Swarthmore College,mens,11.52,12.02,12.58
2471,9,Long Jump,20' 2,17' 0,14' 5,Swarthmore College,mens,242.0,204.0,173.0
2472,10,Triple Jump,42' 4,40' 2,38' 5,Swarthmore College,mens,508.0,482.0,461.0
2473,0,5K XC,19:53,21:31,23:15,Swarthmore College,womens,1193.0,1291.0,1395.0
2474,1,3200m,11:42,11:59,12:15,Swarthmore College,womens,702.0,719.0,735.0
2475,2,1600m,5:25,5:41,5:59,Swarthmore College,womens,325.0,341.0,359.0
2476,3,800m,2:22,2:25,2:27,Swarthmore College,womens,142.0,145.0,147.0
2477,4,400m,1:01,1:02,1:03,Swarthmore College,womens,61.0,62.0,63.0
2478,5,300m H,49.14,50.24,52.70,Swarthmore College,womens,49.14,50.24,52.7
2479,6,200m,27.79,28.28,28.57,Swarthmore College,womens,27.79,28.28,28.57
2480,7,100m,13.24,13.64,13.98,Swarthmore College,womens,13.24,13.64,13.98
2481,8,100m H,16.10,16.93,17.40,Swarthmore College,womens,16.1,16.93,17.4
2482,9,Javelin,106' 5,104' 2,100' 1,Swarthmore College,womens,1277.0,1250.0,1201.0
2483,10,Shot Put,34' 10,33' 10,32' 6,Swarthmore College,womens,418.0,406.0,390.0
2484,11,Triple Jump,35' 6,32' 4,29' 9,Swarthmore College,womens,426.0,388.0,357.0
2485,0,5K XC,14:59,15:36,16:34,Syracuse University,mens,899.0,936.0,994.0
2486,1,3200m,9:01,9:14,9:34,Syracuse University,mens,541.0,554.0,574.0
2487,2,1600m,4:13,4:19,4:28,Syracuse University,mens,253.0,259.0,268.0
2488,3,800m,1:54,1:56,1:59,Syracuse University,mens,114.0,116.0,119.0
2489,4,400m,50.01,52.71,54.36,Syracuse University,mens,50.01,52.71,54.36
2490,5,300m H,38.00,39.41,40.56,Syracuse University,mens,38.0,39.41,40.56
2491,6,200m,21.75,22.42,22.91,Syracuse University,mens,21.75,22.42,22.91
2492,7,110m H,13.95,14.22,14.42,Syracuse University,mens,13.95,14.22,14.42
2493,8,100m,10.67,11.05,12.05,Syracuse University,mens,10.67,11.05,12.05
2494,9,Long Jump,22' 0,21' 1,20' 9,Syracuse University,mens,264.0,253.0,249.0
2495,0,5K XC,17:47,18:29,19:46,Syracuse University,womens,1067.0,1109.0,1186.0
2496,1,3200m,10:37,10:56,11:07,Syracuse University,womens,637.0,656.0,667.0
2497,2,1600m,4:58,5:05,5:16,Syracuse University,womens,298.0,305.0,316.0
2498,3,800m,2:15,2:18,2:20,Syracuse University,womens,135.0,138.0,140.0
2499,4,400m,57.85,1:00,1:02,Syracuse University,womens,57.85,60.0,62.0
2500,5,300m H,45.78,46.58,47.90,Syracuse University,womens,45.78,46.58,47.9
2501,6,200m,23.88,25.02,26.31,Syracuse University,womens,23.88,25.02,26.31
2502,7,100m,11.93,12.74,13.58,Syracuse University,womens,11.93,12.74,13.58
2503,8,100m H,14.02,14.09,14.33,Syracuse University,womens,14.02,14.09,14.33
2504,9,Long Jump,18' 2,17' 4,16' 9,Syracuse University,womens,218.0,208.0,201.0
2505,0,5K XC,15:47,16:17,17:14,Temple University,mens,947.0,977.0,1034.0
2506,1,3200m,9:28,9:44,10:05,Temple University,mens,568.0,584.0,605.0
2507,2,1600m,4:25,4:33,4:45,Temple University,mens,265.0,273.0,285.0
2508,0,5K XC,18:31,19:03,19:44,Temple University,womens,1111.0,1143.0,1184.0
2509,1,3200m,10:47,11:03,11:18,Temple University,womens,647.0,663.0,678.0
2510,2,1600m,5:05,5:09,5:16,Temple University,womens,305.0,309.0,316.0
2511,3,800m,2:17,2:25,2:31,Temple University,womens,137.0,145.0,151.0
2512,4,400m,56.98,1:00,1:01,Temple University,womens,56.98,60.0,61.0
2513,5,300m H,44.91,46.37,49.73,Temple University,womens,44.91,46.37,49.73
2514,6,200m,24.93,25.09,25.45,Temple University,womens,24.93,25.09,25.45
2515,7,100m,12.15,12.82,13.22,Temple University,womens,12.15,12.82,13.22
2516,8,100m H,14.72,15.11,15.73,Temple University,womens,14.72,15.11,15.73
2517,9,High Jump,5' 6,5' 3,5' 0,Temple University,womens,66.0,63.0,60.0
2518,10,Long Jump,18' 3,16' 11,16' 5,Temple University,womens,219.0,203.0,197.0
2519,11,Triple Jump,38' 5,37' 6,35' 5,Temple University,womens,461.0,450.0,425.0
2520,0,5K XC,15:21,15:48,16:24,Texas A & M University-College Station,mens,921.0,948.0,984.0
2521,1,3200m,9:15,9:26,9:40,Texas A & M University-College Station,mens,555.0,566.0,580.0
2522,2,1600m,4:15,4:21,4:28,Texas A & M University-College Station,mens,255.0,261.0,268.0
2523,3,800m,1:52,1:55,1:58,Texas A & M University-College Station,mens,112.0,115.0,118.0
2524,4,400m,47.24,48.85,50.43,Texas A & M University-College Station,mens,47.24,48.85,50.43
2525,5,300m H,36.86,38.02,39.89,Texas A & M University-College Station,mens,36.86,38.02,39.89
2526,6,200m,21.02,21.84,22.74,Texas A & M University-College Station,mens,21.02,21.84,22.74
2527,7,110m H,13.82,14.20,14.60,Texas A & M University-College Station,mens,13.82,14.2,14.6
2528,8,100m,10.26,10.68,10.98,Texas A & M University-College Station,mens,10.26,10.68,10.98
2529,9,Discus,175' 9,162' 8,148' 4,Texas A & M University-College Station,mens,2109.0,1952.0,1780.0
2530,10,High Jump,6' 11,6' 5,5' 10,Texas A & M University-College Station,mens,83.0,77.0,70.0
2531,11,Javelin,220' 7,213' 3,196' 4,Texas A & M University-College Station,mens,2647.0,2559.0,2356.0
2532,12,Long Jump,22' 7,21' 6,20' 5,Texas A & M University-College Station,mens,271.0,258.0,245.0
2533,13,Pole Vault,17' 0,16' 0,14' 10,Texas A & M University-College Station,mens,204.0,192.0,178.0
2534,14,Shot Put,60' 9,53' 9,48' 3,Texas A & M University-College Station,mens,729.0,645.0,579.0
2535,15,Triple Jump,50' 4,44' 11,43' 6,Texas A & M University-College Station,mens,604.0,539.0,522.0
2536,0,5K XC,17:57,18:56,20:12,Texas A & M University-College Station,womens,1077.0,1136.0,1212.0
2537,1,3200m,10:46,11:05,11:36,Texas A & M University-College Station,womens,646.0,665.0,696.0
2538,2,1600m,4:59,5:06,5:14,Texas A & M University-College Station,womens,299.0,306.0,314.0
2539,3,800m,2:10,2:19,2:25,Texas A & M University-College Station,womens,130.0,139.0,145.0
2540,4,400m,52.37,55.17,58.94,Texas A & M University-College Station,womens,52.37,55.17,58.94
2541,5,300m H,42.80,44.05,45.58,Texas A & M University-College Station,womens,42.8,44.05,45.58
2542,6,200m,23.54,24.36,25.61,Texas A & M University-College Station,womens,23.54,24.36,25.61
2543,7,100m,11.51,11.91,12.29,Texas A & M University-College Station,womens,11.51,11.91,12.29
2544,8,100m H,13.50,14.03,14.58,Texas A & M University-College Station,womens,13.5,14.03,14.58
2545,9,Discus,135' 10,130' 11,117' 9,Texas A & M University-College Station,womens,1630.0,1571.0,1413.0
2546,10,High Jump,5' 9,5' 6,5' 0,Texas A & M University-College Station,womens,69.0,66.0,60.0
2547,11,Long Jump,20' 0,18' 2,16' 4,Texas A & M University-College Station,womens,240.0,218.0,196.0
2548,12,Pole Vault,13' 4,12' 10,11' 9,Texas A & M University-College Station,womens,160.0,154.0,141.0
2549,13,Shot Put,45' 11,42' 11,39' 5,Texas A & M University-College Station,womens,551.0,515.0,473.0
2550,14,Triple Jump,42' 2,38' 11,36' 9,Texas A & M University-College Station,womens,506.0,467.0,441.0
2551,0,5K XC,16:24,17:08,18:05,Texas Christian University,mens,984.0,1028.0,1085.0
2552,1,3200m,9:58,10:12,10:19,Texas Christian University,mens,598.0,612.0,619.0
2553,2,1600m,4:24,4:26,4:30,Texas Christian University,mens,264.0,266.0,270.0
2554,3,800m,1:56,1:57,1:58,Texas Christian University,mens,116.0,117.0,118.0
2555,4,400m,46.83,48.14,50.52,Texas Christian University,mens,46.83,48.14,50.52
2556,5,300m H,36.95,38.32,42.04,Texas Christian University,mens,36.95,38.32,42.04
2557,6,200m,21.15,21.59,21.98,Texas Christian University,mens,21.15,21.59,21.98
2558,7,110m H,13.89,14.11,14.75,Texas Christian University,mens,13.89,14.11,14.75
2559,8,100m,10.27,10.55,10.82,Texas Christian University,mens,10.27,10.55,10.82
2560,9,High Jump,6' 6,6' 3,6' 0,Texas Christian University,mens,78.0,75.0,72.0
2561,10,Long Jump,23' 9,22' 6,21' 3,Texas Christian University,mens,285.0,270.0,255.0
2562,11,Pole Vault,15' 5,14' 10,14' 0,Texas Christian University,mens,185.0,178.0,168.0
2563,12,Triple Jump,49' 9,45' 6,42' 1,Texas Christian University,mens,597.0,546.0,505.0
2564,0,5K XC,17:58,18:36,19:45,Texas Christian University,womens,1078.0,1116.0,1185.0
2565,1,3200m,10:53,11:22,11:37,Texas Christian University,womens,653.0,682.0,697.0
2566,2,1600m,4:56,5:10,5:17,Texas Christian University,womens,296.0,310.0,317.0
2567,3,800m,2:11,2:19,2:30,Texas Christian University,womens,131.0,139.0,150.0
2568,4,400m,54.59,57.37,58.48,Texas Christian University,womens,54.59,57.37,58.48
2569,5,300m H,43.09,44.37,45.77,Texas Christian University,womens,43.09,44.37,45.77
2570,6,200m,24.27,24.70,25.40,Texas Christian University,womens,24.27,24.7,25.4
2571,7,100m,11.54,12.07,12.34,Texas Christian University,womens,11.54,12.07,12.34
2572,8,100m H,14.50,14.72,14.81,Texas Christian University,womens,14.5,14.72,14.81
2573,9,Long Jump,19' 3,18' 6,17' 7,Texas Christian University,womens,231.0,222.0,211.0
2574,10,Pole Vault,12' 1,11' 9,11' 6,Texas Christian University,womens,145.0,141.0,138.0
2575,11,Triple Jump,40' 3,38' 5,36' 4,Texas Christian University,womens,483.0,461.0,436.0
2576,0,5K XC,15:31,15:56,16:38,Texas Tech University,mens,931.0,956.0,998.0
2577,1,3200m,9:26,9:36,9:53,Texas Tech University,mens,566.0,576.0,593.0
2578,2,1600m,4:19,4:28,4:45,Texas Tech University,mens,259.0,268.0,285.0
2579,3,800m,1:52,1:57,2:01,Texas Tech University,mens,112.0,117.0,121.0
2580,4,400m,47.31,48.83,50.19,Texas Tech University,mens,47.31,48.83,50.19
2581,5,300m H,36.10,37.57,39.33,Texas Tech University,mens,36.1,37.57,39.33
2582,6,200m,20.94,21.80,23.04,Texas Tech University,mens,20.94,21.8,23.04
2583,7,110m H,13.78,14.26,14.84,Texas Tech University,mens,13.78,14.26,14.84
2584,8,100m,10.34,10.78,11.43,Texas Tech University,mens,10.34,10.78,11.43
2585,9,Discus,186' 9,174' 7,158' 9,Texas Tech University,mens,2241.0,2095.0,1905.0
2586,10,High Jump,6' 11,6' 7,6' 1,Texas Tech University,mens,83.0,79.0,73.0
2587,11,Long Jump,24' 3,22' 5,20' 7,Texas Tech University,mens,291.0,269.0,247.0
2588,12,Pole Vault,16' 2,15' 6,14' 0,Texas Tech University,mens,194.0,186.0,168.0
2589,13,Shot Put,52' 4,50' 3,46' 4,Texas Tech University,mens,628.0,603.0,556.0
2590,14,Triple Jump,47' 5,45' 10,43' 3,Texas Tech University,mens,569.0,550.0,519.0
2591,0,5K XC,18:28,19:37,20:51,Texas Tech University,womens,1108.0,1177.0,1251.0
2592,1,3200m,11:07,11:27,11:40,Texas Tech University,womens,667.0,687.0,700.0
2593,2,1600m,5:05,5:19,5:30,Texas Tech University,womens,305.0,319.0,330.0
2594,3,800m,2:14,2:19,2:31,Texas Tech University,womens,134.0,139.0,151.0
2595,4,400m,54.70,57.90,1:03,Texas Tech University,womens,54.7,57.9,63.0
2596,5,300m H,41.45,43.72,45.95,Texas Tech University,womens,41.45,43.72,45.95
2597,6,200m,23.95,25.15,26.56,Texas Tech University,womens,23.95,25.15,26.56
2598,7,100m,11.57,12.01,12.29,Texas Tech University,womens,11.57,12.01,12.29
2599,8,100m H,13.50,14.01,14.46,Texas Tech University,womens,13.5,14.01,14.46
2600,9,Discus,144' 3,136' 10,126' 5,Texas Tech University,womens,1731.0,1642.0,1517.0
2601,10,High Jump,5' 7,5' 5,5' 0,Texas Tech University,womens,67.0,65.0,60.0
2602,11,Long Jump,19' 9,17' 10,16' 0,Texas Tech University,womens,237.0,214.0,192.0
2603,12,Pole Vault,13' 0,12' 6,11' 6,Texas Tech University,womens,156.0,150.0,138.0
2604,13,Shot Put,45' 9,42' 8,38' 11,Texas Tech University,womens,549.0,512.0,467.0
2605,14,Triple Jump,41' 9,38' 5,35' 11,Texas Tech University,womens,501.0,461.0,431.0
2606,0,5K XC,17:05,19:10,21:04,The College of Wooster,mens,1025.0,1150.0,1264.0
2607,1,3200m,9:52,10:33,10:53,The College of Wooster,mens,592.0,633.0,653.0
2608,2,1600m,4:36,4:56,5:18,The College of Wooster,mens,276.0,296.0,318.0
2609,3,800m,1:59,2:05,2:11,The College of Wooster,mens,119.0,125.0,131.0
2610,4,400m,51.49,55.23,56.89,The College of Wooster,mens,51.49,55.23,56.89
2611,5,300m H,41.20,42.44,43.41,The College of Wooster,mens,41.2,42.44,43.41
2612,6,200m,23.93,24.51,24.71,The College of Wooster,mens,23.93,24.51,24.71
2613,7,110m H,15.63,16.32,17.11,The College of Wooster,mens,15.63,16.32,17.11
2614,8,100m,11.53,12.03,12.38,The College of Wooster,mens,11.53,12.03,12.38
2615,0,5K XC,20:42,23:21,25:11,The College of Wooster,womens,1242.0,1401.0,1511.0
2616,1,3200m,12:17,12:42,13:29,The College of Wooster,womens,737.0,762.0,809.0
2617,2,1600m,5:44,5:53,6:14,The College of Wooster,womens,344.0,353.0,374.0
2618,3,800m,2:28,2:34,2:40,The College of Wooster,womens,148.0,154.0,160.0
2619,4,400m,1:03,1:07,1:10,The College of Wooster,womens,63.0,67.0,70.0
2620,5,300m H,46.88,49.23,50.96,The College of Wooster,womens,46.88,49.23,50.96
2621,6,200m,27.13,28.17,29.23,The College of Wooster,womens,27.13,28.17,29.23
2622,7,100m,13.11,13.62,13.94,The College of Wooster,womens,13.11,13.62,13.94
2623,8,100m H,16.41,17.26,18.04,The College of Wooster,womens,16.41,17.26,18.04
2624,0,5K XC,15:25,15:56,16:26,The University of Alabama,mens,925.0,956.0,986.0
2625,1,3200m,9:13,9:24,9:38,The University of Alabama,mens,553.0,564.0,578.0
2626,2,1600m,4:16,4:23,4:38,The University of Alabama,mens,256.0,263.0,278.0
2627,3,800m,1:52,1:55,1:58,The University of Alabama,mens,112.0,115.0,118.0
2628,4,400m,45.95,48.98,51.15,The University of Alabama,mens,45.95,48.98,51.15
2629,5,300m H,37.12,37.60,38.69,The University of Alabama,mens,37.12,37.6,38.69
2630,6,200m,20.71,21.72,22.24,The University of Alabama,mens,20.71,21.72,22.24
2631,7,110m H,13.70,14.24,14.64,The University of Alabama,mens,13.7,14.24,14.64
2632,8,100m,10.37,10.70,10.97,The University of Alabama,mens,10.37,10.7,10.97
2633,9,Discus,194' 3,175' 8,158' 3,The University of Alabama,mens,2331.0,2108.0,1899.0
2634,10,High Jump,6' 6,6' 4,6' 0,The University of Alabama,mens,78.0,76.0,72.0
2635,11,Javelin,190' 6,183' 11,168' 8,The University of Alabama,mens,2286.0,2207.0,2024.0
2636,12,Long Jump,23' 4,22' 1,20' 6,The University of Alabama,mens,280.0,265.0,246.0
2637,13,Pole Vault,16' 8,16' 2,14' 11,The University of Alabama,mens,200.0,194.0,179.0
2638,14,Shot Put,63' 6,59' 8,54' 0,The University of Alabama,mens,762.0,716.0,648.0
2639,15,Triple Jump,47' 8,45' 6,43' 9,The University of Alabama,mens,572.0,546.0,525.0
2640,0,5K XC,17:53,18:55,20:14,The University of Alabama,womens,1073.0,1135.0,1214.0
2641,1,3200m,10:48,11:03,11:19,The University of Alabama,womens,648.0,663.0,679.0
2642,2,1600m,4:57,5:05,5:13,The University of Alabama,womens,297.0,305.0,313.0
2643,3,800m,2:13,2:17,2:22,The University of Alabama,womens,133.0,137.0,142.0
2644,4,400m,55.52,57.17,1:00,The University of Alabama,womens,55.52,57.17,60.0
2645,5,300m H,43.83,46.18,47.74,The University of Alabama,womens,43.83,46.18,47.74
2646,6,200m,23.40,24.19,25.18,The University of Alabama,womens,23.4,24.19,25.18
2647,7,100m,11.48,11.85,12.27,The University of Alabama,womens,11.48,11.85,12.27
2648,8,100m H,14.06,14.33,14.71,The University of Alabama,womens,14.06,14.33,14.71
2649,9,Discus,151' 1,136' 2,123' 9,The University of Alabama,womens,1813.0,1634.0,1485.0
2650,10,High Jump,5' 2,5' 1,5' 0,The University of Alabama,womens,62.0,61.0,60.0
2651,11,Javelin,147' 7,136' 3,125' 8,The University of Alabama,womens,1771.0,1635.0,1508.0
2652,12,Long Jump,18' 3,17' 7,16' 9,The University of Alabama,womens,219.0,211.0,201.0
2653,13,Pole Vault,12' 7,11' 11,11' 3,The University of Alabama,womens,151.0,143.0,135.0
2654,14,Shot Put,42' 5,37' 5,34' 8,The University of Alabama,womens,509.0,449.0,416.0
2655,15,Triple Jump,37' 8,36' 4,35' 1,The University of Alabama,womens,452.0,436.0,421.0
2656,0,5K XC,15:52,16:22,17:05,The University of Montana,mens,952.0,982.0,1025.0
2657,1,3200m,9:25,9:33,9:37,The University of Montana,mens,565.0,573.0,577.0
2658,2,1600m,4:22,4:29,4:41,The University of Montana,mens,262.0,269.0,281.0
2659,3,800m,1:57,2:03,2:07,The University of Montana,mens,117.0,123.0,127.0
2660,4,400m,49.49,51.73,54.27,The University of Montana,mens,49.49,51.73,54.27
2661,5,300m H,38.49,39.39,39.52,The University of Montana,mens,38.49,39.39,39.52
2662,6,200m,21.78,22.54,23.25,The University of Montana,mens,21.78,22.54,23.25
2663,7,110m H,14.94,15.20,15.52,The University of Montana,mens,14.94,15.2,15.52
2664,8,100m,10.85,11.15,11.39,The University of Montana,mens,10.85,11.15,11.39
2665,9,Discus,168' 7,165' 4,153' 6,The University of Montana,mens,2023.0,1984.0,1842.0
2666,10,High Jump,6' 6,6' 5,6' 2,The University of Montana,mens,78.0,77.0,74.0
2667,11,Javelin,187' 2,181' 4,165' 5,The University of Montana,mens,2246.0,2176.0,1985.0
2668,12,Long Jump,22' 3,21' 6,20' 4,The University of Montana,mens,267.0,258.0,244.0
2669,13,Shot Put,56' 11,56' 2,53' 2,The University of Montana,mens,683.0,674.0,638.0
2670,14,Triple Jump,43' 11,42' 9,42' 3,The University of Montana,mens,527.0,513.0,507.0
2671,0,5K XC,18:36,19:35,21:02,The University of Montana,womens,1116.0,1175.0,1262.0
2672,1,3200m,11:18,11:49,12:10,The University of Montana,womens,678.0,709.0,730.0
2673,2,1600m,5:05,5:19,5:27,The University of Montana,womens,305.0,319.0,327.0
2674,3,800m,2:17,2:22,2:25,The University of Montana,womens,137.0,142.0,145.0
2675,4,400m,56.74,59.34,1:01,The University of Montana,womens,56.74,59.34,61.0
2676,5,300m H,44.67,45.74,47.14,The University of Montana,womens,44.67,45.74,47.14
2677,6,200m,25.40,26.22,27.66,The University of Montana,womens,25.4,26.22,27.66
2678,7,100m,12.29,12.56,12.83,The University of Montana,womens,12.29,12.56,12.83
2679,8,100m H,14.49,15.05,15.51,The University of Montana,womens,14.49,15.05,15.51
2680,9,High Jump,5' 2,4' 11,4' 7,The University of Montana,womens,62.0,59.0,55.0
2681,10,Javelin,137' 4,125' 10,106' 9,The University of Montana,womens,1648.0,1510.0,1281.0
2682,11,Long Jump,17' 9,17' 1,16' 0,The University of Montana,womens,213.0,205.0,192.0
2683,12,Pole Vault,11' 4,10' 11,10' 6,The University of Montana,womens,136.0,131.0,126.0
2684,13,Shot Put,37' 5,36' 5,34' 9,The University of Montana,womens,449.0,437.0,417.0
2685,14,Triple Jump,37' 0,36' 0,34' 9,The University of Montana,womens,444.0,432.0,417.0
2686,0,5K XC,15:35,,16:03,The University of Tennessee-Knoxville,mens,935.0,,963.0
2687,1,3200m,9:05,,9:14,The University of Tennessee-Knoxville,mens,545.0,,554.0
2688,2,1600m,4:10,,4:14,The University of Tennessee-Knoxville,mens,250.0,,254.0
2689,3,800m,1:52,,1:53,The University of Tennessee-Knoxville,mens,112.0,,113.0
2690,4,400m,46.70,,47.00,The University of Tennessee-Knoxville,mens,46.7,,47.0
2691,5,300m H,37.00,,37.75,The University of Tennessee-Knoxville,mens,37.0,,37.75
2692,6,200m,20.60,,21.00,The University of Tennessee-Knoxville,mens,20.6,,21.0
2693,7,110m H,13.75,,14.00,The University of Tennessee-Knoxville,mens,13.75,,14.0
2694,8,100m,10.30,,10.40,The University of Tennessee-Knoxville,mens,10.3,,10.4
2695,9,Discus,186' 0,,175' 0,The University of Tennessee-Knoxville,mens,2232.0,,2100.0
2696,10,Hammer,220' 0,,200' 0,The University of Tennessee-Knoxville,mens,2640.0,,2400.0
2697,11,High Jump,6' 9,,6' 8,The University of Tennessee-Knoxville,mens,81.0,,80.0
2698,12,Javelin,200' 0,,190' 0,The University of Tennessee-Knoxville,mens,2400.0,,2280.0
2699,13,Long Jump,24' 5,,23' 8,The University of Tennessee-Knoxville,mens,293.0,,284.0
2700,14,Pole Vault,16' 0,,15' 6,The University of Tennessee-Knoxville,mens,192.0,,186.0
2701,15,Shot Put,63' 0,,58' 0,The University of Tennessee-Knoxville,mens,756.0,,696.0
2702,16,Triple Jump,50' 8,,50' 0,The University of Tennessee-Knoxville,mens,608.0,,600.0
2703,0,5K XC,18:07,,18:58,The University of Tennessee-Knoxville,womens,1087.0,,1138.0
2704,1,3200m,10:45,,11:05,The University of Tennessee-Knoxville,womens,645.0,,665.0
2705,2,1600m,4:57,,5:05,The University of Tennessee-Knoxville,womens,297.0,,305.0
