College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
Syracuse University,43.039036,-76.135212,Private; non-profit,Syracuse,New York,Midsize city,Midsize city,No religious affiliation,National University,62,14854,7575.0,92,15,39682,23489,3765,0,85,41,59,57.0,61,59,16.0,25.0,1220,1400,13.0,27.0,32.0,,,,,,1799,1113.0,62.0,59.0,5.0,30.0,12.0,7.0,8898.0,3331.0,450.0,0,,,77896.0,17.0,38.0,58.0,40.0,95.0,60.0,3386.0,24.0,17000.0,18339.0,21415.0,27817.0,46942.0,24526.0,47.0,14593.0,64.0,11985.0,60,11985,14854,19.0,36,14,13.0,46,54,1,7,7,10,0,4,3,55,1.0,0.0,302.0,192.0,165.0,188.0,696.0,2222.0,72,81,82,78.0,87.0,35800.0,73600.0,62100.0
Texas A & M University-College Station,30.615011,-96.342476,Public,College Station,Texas,Midsize city,Midsize city,No religious affiliation,National University,67,53119,14935.0,93,19,43763,28132,12323,1,75,48,52,66.0,63,64,44.0,72.0,1140,1380,28.0,25.0,31.0,66.0,92.0,,,, ,,,,,,,,,,,,31703.0,58598.0,,20.0,27.0,66.0,46.0,65.0,54.0,19944.0,40.0,12460.0,14642.0,19741.0,27330.0,29384.0,15000.0,23.0,5016.0,22.0,4799.0,22,4799,53119,30.0,95,1,5.0,53,47,0,9,2,25,0,3,0,58,1.0,0.0,1011.0,528.0,568.0,470.0,1174.0,8572.0,59,80,83,81.0,86.0,36600.0,78400.0,58000.0
The University of Alabama,33.215775,-87.538261,Public,Tuscaloosa,Alabama,Midsize city,Midsize city,No religious affiliation,National University,137,31900,5305.0,87,20,42421,33472,7593,0,40,36,64,79.0,79,79,23.0,17.0,1070,1370,63.0,21.0,31.0,45.0,65.0,42,18,14, ,,,,,,,,,,,,31024.0,50494.0,,17.0,35.0,57.0,42.0,56.0,58.0,6932.0,25.0,18338.0,20121.0,21957.0,23830.0,24948.0,17500.0,67.0,15587.0,52.0,15846.0,55,15742,31900,23.0,42,2,6.0,44,56,0,1,11,5,0,4,1,77,2.0,1.0,441.0,195.0,194.0,187.0,343.0,6233.0,53,69,72,70.0,74.0,26100.0,57900.0,44500.0
The University of Tennessee-Knoxville,35.954219,-83.929478,Public,Knoxville,Tennessee,Midsize city,Midsize city,No religious affiliation,National University,115,23152,6170.0,87,17,29909,22413,5948,0,50,37,63,72.0,77,75,27.0,16.0,1170,1340,62.0,25.0,31.0,41.0,69.0,52,16,13, ,,,,,,,,128.0,53.0,19.0,0,32658.0,51078.0,,24.0,33.0,85.0,51.0,57.0,49.0,5547.0,23.0,10425.0,13492.0,23688.0,25805.0,26827.0,15000.0,60.0,6657.0,49.0,6081.0,52,6081,23152,25.0,70,1,6.0,47,53,0,4,6,5,0,4,1,79,1.0,0.0,618.0,232.0,345.0,230.0,544.0,3979.0,54,70,72,67.0,77.0,27200.0,62400.0,45100.0
Trinity College,41.747964,-72.690772,Private; non-profit,Hartford,Connecticut,Midsize city,Midsize city,No religious affiliation,National Liberal Arts College,39,2167,39.0,91,9,5603,2115,523,1,65,49,51,35.0,40,38,25.0,11.0,1333,1480,5.0,29.0,33.0,51.0,82.0,,,, ,,,,,,,,0.0,0.0,0.0,0,,,79770.0,14.0,15.0,58.0,53.0,100.0,47.0,977.0,46.0,8252.0,10965.0,14246.0,20094.0,43317.0,21000.0,0.0,0.0,1.0,58610.0,1,58610,2167,18.0,17,13,,49,51,0,4,7,9,0,3,2,62,9.0,5.0,22.0,38.0,24.0,32.0,185.0,222.0,81,84,85,86.0,84.0,36700.0,84200.0,66100.0
University of California-Berkeley,37.871960,-122.259094,Public,Berkeley,California,Midsize city,Midsize city,No religious affiliation,National University,20,31345,11837.0,97,19,112843,16295,6931,3,70,47,53,12.0,17,14,43.0,,0,0,,,,,,,,, ,,,,,,,,11725.0,6871.0,359.0,5,41473.0,71227.0,,27.0,15.0,58.0,46.0,79.0,54.0,14347.0,48.0,9594.0,10880.0,14407.0,21217.0,33136.0,12387.0,6.0,4484.0,13.0,7613.0,11,7613,31345,35.0,85,13,9.0,46,54,0,35,2,19,0,6,3,22,1.0,0.0,728.0,311.0,431.0,174.0,291.0,4996.0,79,91,93,92.0,94.0,34700.0,86600.0,64700.0
University of Dayton,39.739931,-84.179184,Private; non-profit,Dayton,Ohio,Midsize city,Midsize city,Roman Catholic,National University,127,8399,2990.0,89,15,17262,13919,2126,0,0,50,50,77.0,84,81,15.0,15.0,1130,1330,54.0,23.0,29.0,24.0,53.0,33,18,18, ,,,,,,,,126.0,40.0,123.0,6,,,62510.0,15.0,46.0,75.0,57.0,88.0,43.0,0.0,0.0,18843.0,20310.0,22973.0,26766.0,33132.0,21000.0,100.0,25812.0,100.0,24562.0,100,24562,8399,10.0,53,4,15.0,51,49,0,1,4,7,0,3,1,80,3.0,1.0,193.0,169.0,109.0,253.0,583.0,819.0,64,79,80,78.0,82.0,36900.0,69600.0,55100.0
University of Florida,29.643324,-82.354745,Public,Gainesville,Florida,Midsize city,Midsize city,No religious affiliation,National University,29,34523,17002.0,97,17,51207,15431,6787,1,30,42,58,29.0,31,30,44.0,79.0,1300,1470,46.0,29.0,33.0,82.0,98.0,39,45,15, ,,,,,,,,,,,,21431.0,43709.0,,23.0,14.0,,,,,,,-208.0,1385.0,5590.0,11831.0,13836.0,14831.0,,,,, , ,34523,31.0,85,2,10.0,43,57,0,10,6,23,0,4,3,52,0.0,0.0,653.0,267.0,400.0,122.0,192.0,5153.0,72,89,91,89.0,92.0,32100.0,71900.0,56000.0
University of Georgia,33.956541,-83.375160,Public,Athens,Georgia,Midsize city,Midsize city,No religious affiliation,National University,49,29726,9072.0,96,17,39229,15685,5819,1,70,39,61,36.0,43,40,37.0,45.0,1270,1450,40.0,29.0,33.0,57.0,89.0,63,29,7, ,,,,,,,,1893.0,1025.0,277.0,5,27946.0,46986.0,,19.0,27.0,71.0,38.0,74.0,62.0,16392.0,58.0,9820.0,11557.0,15844.0,17985.0,18218.0,16250.0,5.0,3878.0,6.0,3188.0,6,3188,29726,18.0,86,1,5.0,42,58,0,11,7,7,0,4,1,69,1.0,0.0,376.0,280.0,263.0,257.0,572.0,4071.0,68,85,87,86.0,89.0,30800.0,65400.0,50500.0
University of Michigan-Ann Arbor,42.278046,-83.738220,Public,Ann Arbor,Michigan,Midsize city,Midsize city,No religious affiliation,National University,25,31046,16824.0,97,11,79743,16071,7290,2,75,50,50,18.0,22,20,45.0,,0,0,,,,,,31,56,12,  ,,,,,,,,17805.0,13063.0,68.0,1,32272.0,69326.0,,18.0,27.0,58.0,40.0,91.0,60.0,14613.0,49.0,4692.0,6904.0,12432.0,18938.0,27199.0,15750.0,21.0,4480.0,15.0,6118.0,16,6118,31046,21.0,53,7,7.0,50,50,0,16,4,7,0,5,5,55,1.0,0.0,264.0,249.0,192.0,254.0,585.0,5746.0,81,92,94,93.0,94.0,36400.0,84600.0,63400.0
University of Missouri-Columbia,38.940195,-92.327937,Public,Columbia,Missouri,Midsize city,Midsize city,No religious affiliation,National University,121,21933,7425.0,88,18,19966,15283,4843,0,55,41,59,75.0,78,77,32.0,7.0,1130,1350,72.0,23.0,30.0,35.0,65.0,,,, ,,,,,,,,,,,,28653.0,47628.0,,21.0,34.0,74.0,50.0,64.0,50.0,4469.0,20.0,13482.0,12992.0,14056.0,19568.0,23533.0,18327.0,70.0,8733.0,53.0,7954.0,57,7954,21933,20.0,72,1,7.0,46,54,0,3,7,5,0,4,1,78,1.0,0.0,331.0,340.0,275.0,284.0,647.0,2966.0,52,70,73,69.0,76.0,30200.0,62100.0,48300.0
University of Oregon,44.044714,-123.072530,Public,Eugene,Oregon,Midsize city,Midsize city,No religious affiliation,National University,105,18743,3629.0,86,18,31558,29483,4589,0,65,41,59,92.0,95,93,16.0,,0,0,,,,,,23,25,21, ,,,,,,,,868.0,348.0,305.0,7,31284.0,57327.0,,25.0,32.0,84.0,46.0,62.0,54.0,6408.0,39.0,14131.0,14515.0,15596.0,22453.0,25537.0,16000.0,46.0,7270.0,19.0,7123.0,25,7123,18743,28.0,49,5,,45,55,1,7,3,14,0,9,2,60,1.0,0.0,279.0,216.0,198.0,145.0,326.0,3425.0,61,72,74,73.0,75.0,25800.0,57700.0,44800.0
University of Richmond,37.575646,-77.539301,Private; non-profit,University of Richmond,Virginia,Midsize city,Midsize city,No religious affiliation,National Liberal Arts College,18,3110,712.0,94,8,13955,4015,876,1,50,41,59,31.0,27,29,22.0,,0,0,,,,50.0,82.0,16,29,31,715,396.0,55.0,27.0,5.0,45.0,13.0,4.0,3891.0,886.0,9.0,1,,,74590.0,18.0,32.0,49.0,37.0,100.0,63.0,1426.0,44.0,13287.0,12860.0,13389.0,24362.0,48763.0,19000.0,18.0,42538.0,33.0,28281.0,29,28281,3110,12.0,16,8,11.0,47,53,0,7,7,10,0,4,3,60,6.0,3.0,50.0,49.0,45.0,51.0,131.0,550.0,84,89,89,87.0,91.0,35900.0,75800.0,64500.0
University of Rochester,43.130404,-77.626057,Private; non-profit,Rochester,New York,Midsize city,Midsize city,No religious affiliation,National University,36,6521,5453.0,94,10,19543,7924,1623,1,50,49,51,37.0,45,41,20.0,22.0,1370,1520,7.0,31.0,35.0,,,,,, ,,,,,,,,3587.0,2111.0,382.0,28,,,79456.0,17.0,43.0,64.0,53.0,97.0,47.0,1271.0,21.0,16050.0,19108.0,24062.0,29766.0,46660.0,19000.0,47.0,14903.0,56.0,15194.0,54,15194,6521,19.0,39,26,,48,52,0,12,5,8,0,4,2,43,4.0,2.0,132.0,97.0,56.0,88.0,225.0,1025.0,76,81,86,83.0,89.0,32400.0,74800.0,61200.0
University of South Carolina-Columbia,33.993258,-81.030091,Public,Columbia,South Carolina,Midsize city,Midsize city,No religious affiliation,National University,115,27066,7862.0,89,18,42045,25884,6174,0,65,38,62,60.0,62,62,24.0,38.0,1150,1360,26.0,26.0,31.0,28.0,58.0,69,14,8, ,,,,,,,,8023.0,399.0,243.0,4,29149.0,50389.0,,20.0,43.0,68.0,47.0,72.0,53.0,1096.0,4.0,12610.0,16370.0,19976.0,22375.0,24716.0,18750.0,96.0,6337.0,90.0,6118.0,91,6118,27066,20.0,59,3,8.0,46,54,0,4,9,5,0,4,1,74,0.0,0.0,454.0,411.0,328.0,439.0,1228.0,3314.0,67,77,78,74.0,81.0,28800.0,61000.0,44900.0
Wake Forest University,36.135582,-80.279532,Private; non-profit,Winston-Salem,North Carolina,Midsize city,Midsize city,No religious affiliation,National University,29,5285,3208.0,94,11,15156,3816,1412,1,85,44,56,24.0,26,25,37.0,,0,0,,,,73.0,92.0,,,, ,,,,,,,,,,,,,,79886.0,9.0,17.0,35.0,27.0,98.0,73.0,3417.0,63.0,7527.0,8337.0,10029.0,14608.0,54043.0,18750.0,7.0,12366.0,16.0,10622.0,14,10622,5285,12.0,18,9,10.0,46,54,0,4,6,8,0,4,0,69,2.0,1.0,64.0,37.0,53.0,39.0,152.0,1067.0,86,90,90,86.0,94.0,36800.0,81200.0,63800.0
Worcester Polytechnic Institute,42.274872,-71.806670,Private; non-profit,Worcester,Massachusetts,Midsize city,Midsize city,No religious affiliation,National University,67,4655,2133.0,95,13,11092,6679,1410,0,0,71,29,54.0,77,60,21.0,,0,0,,,,56.0,87.0,57,17,19, ,,,,,,,,2413.0,978.0,0.0,0,,,74271.0,9.0,51.0,72.0,56.0,72.0,44.0,48.0,1.0,32066.0,31936.0,37152.0,41891.0,49264.0,26991.0,97.0,18314.0,98.0,18335.0,97,18335,4655,13.0,50,7,14.0,60,40,0,8,3,9,0,3,7,63,1.0,1.0,41.0,77.0,37.0,108.0,459.0,688.0,81,86,87,86.0,89.0,53100.0,91500.0,84900.0
Yale University,41.316307,-72.922585,Private; non-profit,New Haven,Connecticut,Midsize city,Midsize city,No religious affiliation,National University,3,6089,7517.0,99,4,47240,2509,1786,13,80,43,57,6.0,5,5,71.0,54.0,1480,1580,35.0,33.0,35.0,94.0,0.0,,,, ,,,,,,,,1030.0,774.0,4.0,0,,,82170.0,21.0,5.0,58.0,53.0,100.0,47.0,3058.0,47.0,1717.0,5177.0,3957.0,15224.0,42964.0,12265.0,0.0,,0.0,,0,0,6089,25.0,8,10,16.0,50,50,0,24,9,15,0,6,0,35,3.0,2.0,39.0,87.0,85.0,35.0,99.0,1441.0,88,96,97,97.0,97.0,45000.0,115500.0,83200.0
The University of the South,35.204903,-85.917656,Private; non-profit,Sewanee,Tennessee,Rural,Rural,Protestant Episcopal,National Liberal Arts College,51,1669,73.0,88,10,4162,2508,474,0,0,46,54,56.0,64,60,19.0,25.0,1200,1390,49.0,26.0,31.0,31.0,66.0,,,,194,139.0,72.0,60.0,5.0,29.0,14.0,8.0,537.0,144.0,11.0,2,,,66480.0,16.0,59.0,61.0,48.0,55.0,52.0,84.0,5.0,10474.0,12758.0,16685.0,20066.0,37849.0,19000.0,89.0,22527.0,91.0,21921.0,91,21921,1669,13.0,24,4,15.0,47,53,0,1,4,6,0,3,0,81,12.0,6.0,46.0,40.0,25.0,51.0,206.0,106.0,75,79,80,78.0,82.0,28300.0,57600.0,45500.0
University of California-Merced,37.362012,-120.427187,Public,Merced,California,Rural,Rural,No religious affiliation,National University,97,8151,696.0,85,19,27793,24068,2410,0,70,47,53,85.0,88,87,10.0,,0,0,,,,17.0,0.0,14,17,23, ,,,,,,,,,,,,38234.0,67988.0,,63.0,25.0,93.0,86.0,80.0,14.0,989.0,12.0,8370.0,9274.0,11997.0,15853.0,26004.0,12000.0,5.0,14132.0,10.0,11850.0,8,11850,8151,57.0,100,8,,47,53,0,18,4,58,0,3,0,8,1.0,0.0,586.0,275.0,369.0,80.0,78.0,1022.0,48,68,72,69.0,74.0,,,
Auburn University,32.593597,-85.495113,Public,Auburn,Alabama,Small city,Small city,No religious affiliation,National University,97,24209,5866.0,91,20,27619,19660,5311,0,50,41,59,69.0,73,71,27.0,,0,0,,,,34.0,64.0,49,20,16, ,,,,,,,,0.0,0.0,0.0,0,33650.0,53810.0,,13.0,29.0,71.0,33.0,45.0,67.0,9541.0,42.0,16701.0,19313.0,22379.0,24989.0,26836.0,17014.0,47.0,8225.0,34.0,8072.0,36,8072,24209,17.0,54,6,8.0,51,49,0,2,5,4,0,3,0,81,2.0,0.0,171.0,160.0,133.0,199.0,403.0,4245.0,55,77,81,77.0,84.0,29900.0,64300.0,48800.0
Bates College,44.105721,-70.202187,Private; non-profit,Lewiston,Maine,Small city,Small city,No religious affiliation,National Liberal Arts College,25,1820,,94,10,7319,1267,553,3,60,45,55,17.0,18,17,44.0,,0,0,,,,60.0,82.0,,,,568,338.0,60.0,14.0,8.0,61.0,23.0,3.0,2473.0,1245.0,2.0,0,,,77870.0,9.0,14.0,39.0,39.0,100.0,61.0,1112.0,61.0,4735.0,5268.0,9925.0,23645.0,40663.0,12555.0,0.0,,0.0,,0,0,1820,15.0,11,8,11.0,49,51,0,5,6,7,0,6,0,67,5.0,3.0,12.0,14.0,15.0,11.0,60.0,441.0,88,91,92,91.0,92.0,32100.0,71400.0,59200.0
Boston College,42.335454,-71.168441,Private; non-profit,Chestnut Hill,Massachusetts,Small city,Small city,Roman Catholic,National University,36,9637,4846.0,95,14,39846,7587,2516,2,80,38,62,23.0,17,19,33.0,30.0,1420,1530,20.0,33.0,34.0,,,,,,3221,1260.0,39.0,21.0,8.0,50.0,20.0,3.0,13040.0,8019.0,13.0,1,,,80658.0,13.0,35.0,45.0,39.0,100.0,61.0,5571.0,59.0,12320.0,14368.0,12780.0,22303.0,52580.0,16750.0,2.0,29133.0,4.0,24659.0,3,24659,9637,13.0,24,8,7.0,47,53,0,10,4,11,0,4,5,58,2.0,1.0,37.0,124.0,74.0,109.0,542.0,1630.0,88,91,91,90.0,92.0,48100.0,94900.0,72500.0
Brandeis University,42.365222,-71.258719,Private; non-profit,Waltham,Massachusetts,Small city,Small city,No religious affiliation,National University,44,3678,2137.0,93,10,9796,3834,943,1,80,41,59,36.0,41,39,25.0,40.0,1370,1530,17.0,31.0,34.0,59.0,85.0,32,28,20,585,330.0,56.0,38.0,6.0,35.0,17.0,7.0,1665.0,768.0,31.0,3,,,78956.0,16.0,33.0,53.0,44.0,95.0,56.0,1353.0,39.0,11623.0,12733.0,18911.0,27016.0,50064.0,24071.0,32.0,15554.0,30.0,14911.0,30,14911,3678,16.0,31,20,14.0,40,60,0,15,5,8,0,4,3,44,1.0,1.0,60.0,51.0,36.0,37.0,119.0,640.0,82,87,88,86.0,89.0,29300.0,70900.0,57900.0
Connecticut College,41.379604,-72.104386,Private; non-profit,New London,Connecticut,Small city,Small city,No religious affiliation,National Liberal Arts College,55,1820,,90,9,7682,3146,492,0,0,41,59,35.0,45,41,16.0,12.0,1333,1476,10.0,30.0,33.0,54.0,78.0,21,23,25,399,206.0,52.0,40.0,5.0,42.0,10.0,4.0,1966.0,914.0,11.0,2,,,79575.0,16.0,39.0,59.0,54.0,100.0,46.0,130.0,7.0,19605.0,16283.0,20255.0,30265.0,44983.0,19500.0,89.0,24817.0,82.0,19112.0,84,19112,1820,14.0,14,8,12.0,38,62,0,4,4,10,0,4,1,67,7.0,3.0,36.0,27.0,15.0,36.0,79.0,299.0,78,80,81,78.0,83.0,32000.0,67400.0,54900.0
Cornell University,42.454323,-76.475266,Private; non-profit,Ithaca,New York,Small city,Small city,No religious affiliation,National University,17,14976,8984.0,97,9,67380,5852,3718,7,80,49,51,8.0,10,9,64.0,41.0,1450,1560,20.0,33.0,35.0,84.0,98.0,,,,9017,1930.0,21.0,7.0,13.0,52.0,46.0,3.0,7746.0,5800.0,24.0,1,,,80287.0,17.0,26.0,55.0,48.0,100.0,52.0,8081.0,52.0,1862.0,1953.0,4035.0,20449.0,48400.0,13500.0,0.0,,0.0,,0,0,14976,15.0,38,10,,46,54,0,21,7,15,0,5,8,35,3.0,1.0,121.0,193.0,182.0,163.0,744.0,2315.0,88,93,94,93.0,95.0,45900.0,104100.0,77200.0
Dickinson College,40.202689,-77.201445,Private; non-profit,Carlisle,Pennsylvania,Small city,Small city,No religious affiliation,National Liberal Arts College,51,2098,,87,8,6366,3061,677,0,65,40,60,46.0,50,48,22.0,,0,0,,,,49.0,76.0,,,,340,235.0,69.0,47.0,5.0,35.0,16.0,7.0,603.0,199.0,4.0,1,,,77237.0,16.0,41.0,72.0,66.0,99.0,34.0,299.0,14.0,1245.0,1451.0,3884.0,13359.0,27107.0,19000.0,75.0,21941.0,50.0,18736.0,58,18736,2098,12.0,26,12,19.0,41,59,0,5,6,9,0,4,1,63,8.0,4.0,42.0,47.0,22.0,56.0,137.0,373.0,79,82,82,79.0,85.0,32100.0,68200.0,57400.0
Florida Institute of Technology,28.064178,-80.622765,Private; non-profit,Melbourne,Florida,Small city,Small city,No religious affiliation,National University,202,3293,2480.0,79,15,10650,7016,756,0,0,60,40,68.0,63,66,11.0,68.0,1140,1340,30.0,24.0,30.0,,,,,, ,,,,,,,,,,,,,,58534.0,21.0,38.0,,,,,,,27009.0,26382.0,32008.0,29730.0,34690.0,14250.0,,,,, ,,3293,40.0,46,25,7.0,69,31,0,2,5,10,0,3,2,51,1.0,1.0,79.0,43.0,41.0,51.0,160.0,382.0,53,65,66,64.0,72.0,28000.0,71400.0,56600.0
Franklin and Marshall College,40.048600,-76.320012,Private; non-profit,Lancaster,Pennsylvania,Small city,Small city,No religious affiliation,National Liberal Arts College,39,2309,,90,9,7720,2898,510,0,60,47,53,36.0,39,38,18.0,,0,0,,,,,,,,,440,252.0,57.0,36.0,6.0,50.0,10.0,4.0,0.0,0.0,0.0,  ,,,80618.0,21.0,46.0,65.0,58.0,100.0,42.0,891.0,41.0,14608.0,15729.0,20011.0,28114.0,46582.0,19000.0,0.0,0.0,1.0,25112.0,1,25112,2309,19.0,29,17,19.0,43,57,0,4,7,11,0,3,2,56,11.0,3.0,56.0,54.0,42.0,50.0,130.0,178.0,78,82,83,80.0,85.0,33600.0,67600.0,58900.0
Indiana University-Bloomington,39.167305,-86.524327,Public,Bloomington,Indiana,Small city,Small city,No religious affiliation,National University,72,32794,10176.0,90,16,46498,39543,9482,0,65,46,54,84.0,86,85,24.0,39.0,1160,1380,23.0,26.0,32.0,,,,,, ,,,,,,,,,,,,27299.0,54318.0,,18.0,28.0,,,,,,,5625.0,6914.0,11484.0,20628.0,23279.0,15940.0,,,,, ,,32794,22.0,62,6,,50,50,0,7,5,8,0,5,0,69,1.0,0.0,520.0,472.0,410.0,319.0,740.0,7021.0,69,79,81,78.0,83.0,29300.0,63700.0,47700.0
Iowa State University,42.026769,-93.647267,Public,Ames,Iowa,Small city,Small city,No religious affiliation,National University,127,27930,5078.0,87,18,20357,18550,5387,0,40,51,49,90.0,92,91,29.0,13.0,1083,1330,63.0,21.0,28.0,,,,,, ,,,,,,,,0.0,0.0,0.0,0,22152.0,37964.0,,20.0,48.0,78.0,49.0,77.0,51.0,2670.0,11.0,8148.0,9986.0,12717.0,16964.0,19610.0,18500.0,89.0,5183.0,74.0,4296.0,77,4296,27930,20.0,61,4,5.0,57,43,0,4,3,6,0,3,3,76,1.0,1.0,226.0,280.0,198.0,322.0,683.0,3678.0,51,73,76,73.0,80.0,31900.0,63100.0,50700.0
Lehigh University,40.604584,-75.377529,Private; non-profit,Bethlehem,Pennsylvania,Small city,Small city,No religious affiliation,National University,51,5164,1775.0,93,9,14107,6485,1519,1,70,51,49,41.0,51,46,23.0,36.0,1325,1490,18.0,30.0,34.0,66.0,89.0,,,,1084,763.0,70.0,44.0,8.0,50.0,13.0,6.0,4124.0,2079.0,102.0,7,,,74865.0,18.0,36.0,67.0,43.0,97.0,57.0,2855.0,53.0,15188.0,17416.0,22056.0,29779.0,49302.0,20672.0,10.0,16367.0,6.0,14559.0,7,15202,5164,17.0,27,9,6.0,54,46,0,8,5,10,0,4,3,61,1.0,1.0,116.0,86.0,72.0,104.0,262.0,879.0,78,86,87,85.0,90.0,50700.0,93600.0,81900.0
Liberty University,37.3492,-79.1784,Private; non-profit,Lynchburg,Virginia,Small city,Small city,Evangelical Christian,National University, ,46438,38561.0,81,17,28448,28244,5461,0,50,38,62,99.0,99,99,19.0,,0,0,,,,,,,,, ,,,,,,,,,,,,,,42114.0,39.0,52.0,,,,,,,28923.0,26336.0,27214.0,27143.0,30358.0,16790.0,,,,, , ,46438,42.0,26,1,,43,57,0,2,10,7,0,3,21,56,0.0,0.0,606.0,391.0,269.0,464.0,870.0,2861.0,45,62,65,59.0,65.0,19700.0,50800.0,36700.0
Marshall University,38.422945,-82.424194,Public,Huntington,West Virginia,Small city,Small city,No religious affiliation,National University, ,7750,3437.0,73,18,5602,5479,1596,0,40,40,60,97.0,98,98,29.0,56.0,930,1150,70.0,19.0,25.0,,,31,20,16, ,,,,,,,,,,,,23323.0,34377.0,,38.0,45.0,91.0,68.0,47.0,32.0,880.0,13.0,5986.0,6275.0,9058.0,12963.0,13876.0,16741.0,76.0,3339.0,47.0,3443.0,54,3443,7750,37.0,81,1,5.0,42,58,0,1,5,2,0,3,4,83,1.0,0.0,359.0,147.0,139.0,129.0,138.0,684.0,34,48,53,49.0,55.0,19700.0,48600.0,35600.0
Michigan State University,42.701847,-84.482170,Public,East Lansing,Michigan,Small city,Small city,No religious affiliation,National University,77,38950,10633.0,91,16,50630,42150,9225,0,65,46,54,81.0,85,83,22.0,48.0,1100,1320,16.0,23.0,29.0,27.0,59.0,24,28,23, ,,,,,,,,,,,,29734.0,55546.0,,22.0,37.0,65.0,45.0,57.0,55.0,14834.0,42.0,129.0,6117.0,12578.0,17089.0,19612.0,20500.0,21.0,8478.0,20.0,8917.0,20,8917,38950,21.0,84,7,5.0,49,51,0,7,8,6,0,4,1,68,1.0,0.0,936.0,396.0,439.0,411.0,1039.0,6004.0,59,80,82,80.0,84.0,31500.0,66700.0,53600.0
Northwestern University,42.055984,-87.675171,Private; non-profit,Evanston,Illinois,Small city,Small city,No religious affiliation,National University,10,8530,13766.0,98,6,47636,3321,2086,9,75,45,55,7.0,7,7,63.0,43.0,1470,1570,39.0,34.0,35.0,96.0,0.0,,,,4545,1105.0,24.0,5.0,10.0,53.0,44.0,2.0,0.0,0.0,69.0,3,,,83838.0,19.0,19.0,51.0,44.0,100.0,56.0,4337.0,52.0,8911.0,6236.0,9389.0,19870.0,46687.0,14500.0,2.0,23249.0,8.0,5964.0,7,5964,8530,15.0,28,10,9.0,47,53,0,19,6,13,0,6,4,42,1.0,0.0,57.0,149.0,91.0,121.0,375.0,1293.0,86,94,95,94.0,97.0,41800.0,97500.0,69000.0
Oregon State University,44.563628,-123.279573,Public,Corvallis,Oregon,Small city,Small city,No religious affiliation,National University,151,25339,5472.0,85,18,23188,20687,3965,0,65,45,55,87.0,91,89,19.0,25.0,1120,1370,13.0,21.0,28.0,,,23,25,21,,,,,,,,,,,,,29402.0,48793.0,,23.0,33.0,,,,,,,13158.0,13934.0,16708.0,21293.0,24559.0,16166.0,,,,, , ,25339,31.0,72,6,,52,48,1,8,2,12,0,7,3,62,1.0,0.0,259.0,185.0,164.0,143.0,259.0,2955.0,41,64,68,65.0,72.0,28000.0,64300.0,49600.0
Princeton University,40.343899,-74.660049,Private; non-profit,Princeton,New Jersey,Small city,Small city,No religious affiliation,National University,1,5308,2997.0,98,4,37601,1647,1290,18,70,49,51,4.0,5,4,78.0,56.0,1460,1570,35.0,33.0,35.0,,,59,32,5, ,,,,,,,,1265.0,1000.0,150.0,12,,,78490.0,22.0,2.0,67.0,62.0,100.0,38.0,1964.0,38.0,5761.0,5544.0,6975.0,17703.0,42868.0,9100.0,0.0,,0.0,,0,0,5308,28.0,20,12,6.0,46,54,0,25,9,11,0,6,2,36,2.0,1.0,71.0,59.0,67.0,20.0,27.0,1046.0,90,96,98,97.0,99.0,33200.0,108100.0,74700.0
